Ingredient,Function,Comedogenic Rating,Irritancy,Good For,Bad For,Description
Melaleuca Alternifolia Ferment Filtrate,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Melaleuca Alternifolia.
Capric Ascorbate,Emulsifier,0,1,Aging,None,A standard cosmetic emulsifier used in skincare formulations.
Iron Collagen,Exfoliant,2,3,Sensitive,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Citrus Limon Ferment Filtrate,Emollient,0,0,Acne,None,Natural plant-derived emollient from Citrus Limon.
Sorbitan Myristate,Viscosity Controller,1,1,Acne,None,A standard cosmetic viscosity controller used in skincare formulations.
Cocamidopropyl Peptide,Antioxidant,0,0,Oily,None,A standard cosmetic antioxidant used in skincare formulations.
Stearyl Niacinamide,Exfoliant,0,1,Acne,None,A standard cosmetic exfoliant used in skincare formulations.
Titanium Soy Protein,Thickener,2,0,Sensitive,Oily,A standard cosmetic thickener used in skincare formulations.
Polysorbate 80 Wheat Protein,Exfoliant,0,2,Oily,Acne,A standard cosmetic exfoliant used in skincare formulations.
Lavandula Angustifolia Wax,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Lavandula Angustifolia.
Glyceryl Ceramide AP,Solvent,1,0,Dry,Dry,A standard cosmetic solvent used in skincare formulations.
Isopropyl Collagen,Surfactant,0,0,Aging,Dry,A standard cosmetic surfactant used in skincare formulations.
Cocos Nucifera Oil,Soothing,3,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Cocos Nucifera.
Iron Linoleate,Emollient,2,0,All,None,A standard cosmetic emollient used in skincare formulations.
Methyl Panthenol,Emollient,5,0,Acne,Oily,A standard cosmetic emollient used in skincare formulations.
Myristyl Niacinamide,Humectant,2,1,Oily,Oily,A standard cosmetic humectant used in skincare formulations.
Methyl Ceramide AP,Viscosity Controller,2,0,Sensitive,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Macadamia Ternifolia Callus Culture Extract,Humectant,0,0,Dry,None,Natural plant-derived humectant from Macadamia Ternifolia.
Butyrospermum Parkii Bark Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Butyrospermum Parkii.
Copper Phosphate,Humectant,1,1,Sensitive,Acne,A standard cosmetic humectant used in skincare formulations.
PPG-10 Retinol,Humectant,0,1,Dry,Acne,A standard cosmetic humectant used in skincare formulations.
Isopropyl Peptide,Soothing,0,1,Dry,Acne,A standard cosmetic soothing used in skincare formulations.
Zinc Lactate,Exfoliant,1,0,All,None,A standard cosmetic exfoliant used in skincare formulations.
Stearyl Carbonate,Humectant,2,0,Dry,Dry,A standard cosmetic humectant used in skincare formulations.
Glyceryl Linoleate,Buffering,2,0,All,Oily,A standard cosmetic buffering used in skincare formulations.
PEG-40 Soy Protein,Antioxidant,0,1,Sensitive,Acne,A standard cosmetic antioxidant used in skincare formulations.
Potassium Citrate,Humectant,0,0,Aging,None,A standard cosmetic humectant used in skincare formulations.
Cocoyl Dioxide,Soothing,2,1,All,Acne,A standard cosmetic soothing used in skincare formulations.
Cetyl Palmitate,Humectant,0,0,Dry,Acne,A standard cosmetic humectant used in skincare formulations.
Triticum Vulgare Callus Culture Extract,Emollient,0,0,Dry,None,Natural plant-derived emollient from Triticum Vulgare.
Panax Ginseng Butter,Soothing,4,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Panax Ginseng.
Punica Granatum Lysate,Antioxidant,0,0,Acne,None,Natural plant-derived antioxidant from Punica Granatum.
Methyl Palmitate,Solvent,1,0,Dry,Oily,A standard cosmetic solvent used in skincare formulations.
Iron Laurate,Surfactant,2,0,Oily,Dry,A standard cosmetic surfactant used in skincare formulations.
PEG-20 Gluconate,Antioxidant,1,1,Dry,Acne,A standard cosmetic antioxidant used in skincare formulations.
Hydrogenated Retinol,Preservative,1,5,Oily,Dry,A standard cosmetic preservative used in skincare formulations.
PEG-100 Oleate,Antioxidant,2,1,Acne,None,A standard cosmetic antioxidant used in skincare formulations.
Iron Sulfate,Exfoliant,2,3,Acne,Oily,A standard cosmetic exfoliant used in skincare formulations.
Lauroyl Palmitate,Buffering,0,1,All,Dry,A standard cosmetic buffering used in skincare formulations.
Capric Carbonate,Emollient,3,0,Acne,None,A standard cosmetic emollient used in skincare formulations.
Propyl Peptide,Humectant,0,1,Dry,Dry,A standard cosmetic humectant used in skincare formulations.
Magnesium Ceramide AP,Buffering,2,1,Acne,Sensitive,A standard cosmetic buffering used in skincare formulations.
Hydrogenated Lactate,Preservative,0,4,Oily,Acne,A standard cosmetic preservative used in skincare formulations.
Cocamidopropyl Soy Protein,Surfactant,1,5,Sensitive,Sensitive,A standard cosmetic surfactant used in skincare formulations.
Hydrolyzed Sulfate,Surfactant,0,3,Sensitive,None,A standard cosmetic surfactant used in skincare formulations.
Rosa Damascena Leaf Extract,Humectant,0,0,Acne,None,Natural plant-derived humectant from Rosa Damascena.
Acetylated Dioxide,Emollient,1,1,Sensitive,None,A standard cosmetic emollient used in skincare formulations.
Iron Citrate,Solvent,1,0,Oily,Oily,A standard cosmetic solvent used in skincare formulations.
Ethyl Linoleate,Emulsifier,1,1,Dry,Acne,A standard cosmetic emulsifier used in skincare formulations.
Copper Palmitate,Preservative,1,0,Acne,Acne,A standard cosmetic preservative used in skincare formulations.
Methyl Soy Protein,Surfactant,1,3,Sensitive,Acne,A standard cosmetic surfactant used in skincare formulations.
Triticum Vulgare Bark Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Triticum Vulgare.
Isopropyl Soy Protein,Solvent,1,0,Sensitive,Sensitive,A standard cosmetic solvent used in skincare formulations.
Caprylic Soy Protein,Humectant,1,1,Sensitive,Sensitive,A standard cosmetic humectant used in skincare formulations.
Aluminum Collagen,Thickener,3,0,Acne,Acne,A standard cosmetic thickener used in skincare formulations.
Ethyl Panthenol,Emulsifier,2,0,Oily,Acne,A standard cosmetic emulsifier used in skincare formulations.
Zinc Tocopherol,Thickener,1,1,Aging,Acne,A standard cosmetic thickener used in skincare formulations.
Hydrolyzed Citrate,Buffering,2,0,Sensitive,Acne,A standard cosmetic buffering used in skincare formulations.
Glyceryl Oleate,Chelating,1,0,All,Acne,A standard cosmetic chelating used in skincare formulations.
Isopropyl Gluconate,Emulsifier,0,1,Acne,Acne,A standard cosmetic emulsifier used in skincare formulations.
Cetyl Oxide,Humectant,1,1,Dry,Oily,A standard cosmetic humectant used in skincare formulations.
Triticum Vulgare Lysate,Humectant,0,0,Dry,None,Natural plant-derived humectant from Triticum Vulgare.
Lauryl Chloride,Humectant,1,1,Acne,Sensitive,A standard cosmetic humectant used in skincare formulations.
Polysorbate 20 Lactate,Humectant,1,0,Dry,Dry,A standard cosmetic humectant used in skincare formulations.
Ethyl Retinol,Chelating,2,0,Oily,Acne,A standard cosmetic chelating used in skincare formulations.
Calendula Officinalis Bark Extract,Emollient,0,0,Acne,None,Natural plant-derived emollient from Calendula Officinalis.
Propyl Ceramide NP,Humectant,1,0,All,Sensitive,A standard cosmetic humectant used in skincare formulations.
Behenyl Lactate,Buffering,0,0,Oily,Dry,A standard cosmetic buffering used in skincare formulations.
Ginkgo Biloba Lysate,Emollient,0,0,Dry,None,Natural plant-derived emollient from Ginkgo Biloba.
Butyl Salicylate,Soothing,0,1,Dry,Sensitive,A standard cosmetic soothing used in skincare formulations.
Sorbitan Peptide,Exfoliant,2,3,Dry,Oily,A standard cosmetic exfoliant used in skincare formulations.
PPG-10 Niacinamide,Surfactant,2,5,Acne,Acne,A standard cosmetic surfactant used in skincare formulations.
Zinc Salicylate,Astringent,0,1,Dry,Oily,A standard cosmetic astringent used in skincare formulations.
PEG-8 Crosspolymer,Preservative,2,5,Dry,None,A standard cosmetic preservative used in skincare formulations.
Ethyl Peptide,Exfoliant,2,1,Sensitive,Oily,A standard cosmetic exfoliant used in skincare formulations.
Olea Europaea Fruit Extract,Emollient,0,0,Oily,None,Natural plant-derived emollient from Olea Europaea.
Sodium Dioxide,Thickener,4,1,Sensitive,Sensitive,A standard cosmetic thickener used in skincare formulations.
Isobutyl Myristate,Buffering,0,0,Sensitive,Oily,A standard cosmetic buffering used in skincare formulations.
Oryza Sativa Oil,Emollient,3,0,Oily,None,Natural plant-derived emollient from Oryza Sativa.
Cetyl Hydroxide,Emulsifier,1,0,Acne,Acne,A standard cosmetic emulsifier used in skincare formulations.
Polysorbate 20 Gluconate,Solvent,2,0,Acne,Dry,A standard cosmetic solvent used in skincare formulations.
PEG-100 Chloride,Thickener,1,0,Sensitive,Dry,A standard cosmetic thickener used in skincare formulations.
PPG-15 Oat Protein,Chelating,1,1,Sensitive,Acne,A standard cosmetic chelating used in skincare formulations.
Camellia Sinensis Seed Extract,Humectant,0,0,Dry,None,Natural plant-derived humectant from Camellia Sinensis.
Persea Gratissima Butter,Humectant,3,0,Aging,None,Natural plant-derived humectant from Persea Gratissima.
Propyl Phosphate,Emollient,0,1,Aging,Sensitive,A standard cosmetic emollient used in skincare formulations.
Ethyl Hydroxide,Astringent,2,1,Sensitive,Oily,A standard cosmetic astringent used in skincare formulations.
Caprylic Wheat Protein,Exfoliant,0,4,Oily,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Polysorbate 60 Ceramide NP,Thickener,5,0,Aging,Acne,A standard cosmetic thickener used in skincare formulations.
PEG-100 Ceramide AP,Thickener,5,1,All,Oily,A standard cosmetic thickener used in skincare formulations.
Acetylated Ceramide NP,Surfactant,0,2,Oily,None,A standard cosmetic surfactant used in skincare formulations.
Centella Asiatica Seed Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Centella Asiatica.
Polysorbate 20 Retinol,Buffering,2,1,Sensitive,Dry,A standard cosmetic buffering used in skincare formulations.
Argania Spinosa Ferment Filtrate,Humectant,0,0,Acne,None,Natural plant-derived humectant from Argania Spinosa.
Cetyl Retinol,Chelating,0,1,All,Acne,A standard cosmetic chelating used in skincare formulations.
PEG-40 Chloride,Astringent,2,0,Aging,Sensitive,A standard cosmetic astringent used in skincare formulations.
Rosa Damascena Callus Culture Extract,Emollient,0,0,Acne,None,Natural plant-derived emollient from Rosa Damascena.
Magnesium Panthenol,Antioxidant,0,0,Sensitive,Acne,A standard cosmetic antioxidant used in skincare formulations.
Polysorbate 20 Phosphate,Emollient,3,1,Sensitive,Dry,A standard cosmetic emollient used in skincare formulations.
Morus Alba Seed Extract,Humectant,0,0,Oily,None,Natural plant-derived humectant from Morus Alba.
Capric Retinol,Solvent,0,1,Dry,Oily,A standard cosmetic solvent used in skincare formulations.
Cetearyl Acetate,Buffering,2,1,All,Oily,A standard cosmetic buffering used in skincare formulations.
Polyglyceryl-3 Carbonate,Preservative,0,4,Oily,Acne,A standard cosmetic preservative used in skincare formulations.
Polysorbate 20 Hyaluronate,Exfoliant,2,4,Sensitive,Dry,A standard cosmetic exfoliant used in skincare formulations.
Capric Myristate,Astringent,2,0,Acne,Dry,A standard cosmetic astringent used in skincare formulations.
Polysorbate 80 Panthenol,Emollient,1,0,Sensitive,Oily,A standard cosmetic emollient used in skincare formulations.
Capric Tocopherol,Chelating,0,0,Acne,None,A standard cosmetic chelating used in skincare formulations.
Melaleuca Alternifolia Seed Extract,Humectant,0,0,Dry,None,Natural plant-derived humectant from Melaleuca Alternifolia.
Polysorbate 20 Sorbate,Emulsifier,1,1,Acne,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Isobutyl Phosphate,Preservative,0,3,All,Sensitive,A standard cosmetic preservative used in skincare formulations.
Cetyl Wheat Protein,Surfactant,1,1,Sensitive,Oily,A standard cosmetic surfactant used in skincare formulations.
Mentha Piperita Oil,Antioxidant,4,0,Acne,None,Natural plant-derived antioxidant from Mentha Piperita.
Lauryl Phosphate,Viscosity Controller,0,0,Acne,Acne,A standard cosmetic viscosity controller used in skincare formulations.
Behenyl Laurate,Viscosity Controller,2,0,All,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
Sodium Ascorbate,Preservative,1,0,Oily,None,A standard cosmetic preservative used in skincare formulations.
Cetearyl Ceramide EOP,Chelating,0,0,Aging,Oily,A standard cosmetic chelating used in skincare formulations.
Isobutyl Linoleate,Chelating,2,1,Dry,Sensitive,A standard cosmetic chelating used in skincare formulations.
Cetyl Oleate,Thickener,1,1,Sensitive,Dry,A standard cosmetic thickener used in skincare formulations.
Lauryl Retinol,Humectant,2,0,Dry,Dry,A standard cosmetic humectant used in skincare formulations.
Palmitoyl Peptide,Surfactant,2,1,Dry,Acne,A standard cosmetic surfactant used in skincare formulations.
Acetylated Carbonate,Astringent,2,0,Oily,Oily,A standard cosmetic astringent used in skincare formulations.
Polyglyceryl-3 Lactate,Antioxidant,2,0,Aging,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Calcium Gluconate,Thickener,5,1,All,Oily,A standard cosmetic thickener used in skincare formulations.
Polysorbate 20 Ascorbate,Chelating,2,0,Aging,Acne,A standard cosmetic chelating used in skincare formulations.
PPG-10 Myristate,Humectant,0,0,Sensitive,Sensitive,A standard cosmetic humectant used in skincare formulations.
Glycine Soja Water,Antioxidant,0,0,All,None,Natural plant-derived antioxidant from Glycine Soja.
Stearyl Oxide,Emulsifier,0,1,All,None,A standard cosmetic emulsifier used in skincare formulations.
Titanium Ascorbate,Antioxidant,1,1,Acne,None,A standard cosmetic antioxidant used in skincare formulations.
Cocos Nucifera Butter,Emollient,4,0,All,None,Natural plant-derived emollient from Cocos Nucifera.
Rubus Idaeus Leaf Extract,Humectant,0,0,Aging,None,Natural plant-derived humectant from Rubus Idaeus.
Cetyl Ceramide NP,Exfoliant,0,3,Sensitive,Oily,A standard cosmetic exfoliant used in skincare formulations.
Polyglyceryl-3 Ceramide EOP,Soothing,1,1,Acne,Oily,A standard cosmetic soothing used in skincare formulations.
Aloe Barbadensis Oil,Emollient,1,0,Sensitive,None,Natural plant-derived emollient from Aloe Barbadensis.
Ethyl Keratin,Soothing,2,1,All,Acne,A standard cosmetic soothing used in skincare formulations.
Hydrolyzed Ceramide EOP,Preservative,2,1,Dry,None,A standard cosmetic preservative used in skincare formulations.
Butyl Laurate,Viscosity Controller,2,0,Oily,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Macadamia Ternifolia Fruit Extract,Emollient,0,0,Aging,None,Natural plant-derived emollient from Macadamia Ternifolia.
Mentha Piperita Callus Culture Extract,Antioxidant,0,0,Dry,None,Natural plant-derived antioxidant from Mentha Piperita.
Ethyl Carbonate,Humectant,2,1,Acne,Dry,A standard cosmetic humectant used in skincare formulations.
Prunus Amygdalus Dulcis Seed Extract,Antioxidant,0,0,Oily,None,Natural plant-derived antioxidant from Prunus Amygdalus Dulcis.
Ethyl Crosspolymer,Soothing,0,1,All,Sensitive,A standard cosmetic soothing used in skincare formulations.
Lauryl Lactate,Preservative,1,1,Sensitive,None,A standard cosmetic preservative used in skincare formulations.
Lauryl Hydroxide,Preservative,2,1,Sensitive,Dry,A standard cosmetic preservative used in skincare formulations.
Butyl Copolymer,Chelating,0,1,Aging,Oily,A standard cosmetic chelating used in skincare formulations.
Potassium Oxide,Astringent,0,1,Sensitive,Sensitive,A standard cosmetic astringent used in skincare formulations.
Cetearyl Hyaluronate,Soothing,1,0,Acne,Acne,A standard cosmetic soothing used in skincare formulations.
Palmitoyl Copolymer,Chelating,1,1,Oily,Acne,A standard cosmetic chelating used in skincare formulations.
Propyl Stearate,Solvent,0,1,Oily,Dry,A standard cosmetic solvent used in skincare formulations.
Caprylic Oat Protein,Viscosity Controller,1,0,All,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Isobutyl Dioxide,Emulsifier,1,1,Dry,Oily,A standard cosmetic emulsifier used in skincare formulations.
Myristoyl Retinol,Emulsifier,1,0,Oily,Oily,A standard cosmetic emulsifier used in skincare formulations.
Polysorbate 20 Collagen,Exfoliant,1,0,All,Oily,A standard cosmetic exfoliant used in skincare formulations.
Lavandula Angustifolia Leaf Extract,Humectant,0,0,Sensitive,None,Natural plant-derived humectant from Lavandula Angustifolia.
PEG-100 Laurate,Humectant,0,1,Acne,Acne,A standard cosmetic humectant used in skincare formulations.
Myristyl Sorbate,Solvent,2,1,Oily,None,A standard cosmetic solvent used in skincare formulations.
Rosmarinus Officinalis Essential Oil,Soothing,2,1,Sensitive;Aging;Dry,Sensitive,Natural plant-derived soothing from Rosmarinus Officinalis.
Glycine Soja Ferment Filtrate,Antioxidant,0,0,Acne,None,Natural plant-derived antioxidant from Glycine Soja.
PEG-8 Benzoate,Solvent,1,1,Aging,Oily,A standard cosmetic solvent used in skincare formulations.
Sodium Retinol,Humectant,1,1,Aging,Sensitive,A standard cosmetic humectant used in skincare formulations.
Butyl Acetate,Thickener,1,1,Aging,Sensitive,A standard cosmetic thickener used in skincare formulations.
Simmondsia Chinensis Oil,Emollient,3,0,Dry,None,Natural plant-derived emollient from Simmondsia Chinensis.
PEG-100 Crosspolymer,Exfoliant,2,1,Oily,Acne,A standard cosmetic exfoliant used in skincare formulations.
Zinc Collagen,Exfoliant,1,3,Acne,None,A standard cosmetic exfoliant used in skincare formulations.
Rubus Idaeus Essential Oil,Soothing,1,1,Sensitive;Aging;Dry,Sensitive,Natural plant-derived soothing from Rubus Idaeus.
Ginkgo Biloba Wax,Antioxidant,0,0,Aging,None,Natural plant-derived antioxidant from Ginkgo Biloba.
Rubus Idaeus Bark Extract,Humectant,0,0,Oily,None,Natural plant-derived humectant from Rubus Idaeus.
Lavandula Angustifolia Water,Emollient,0,0,Dry,None,Natural plant-derived emollient from Lavandula Angustifolia.
Polysorbate 60 Gluconate,Emollient,4,1,All,Sensitive,A standard cosmetic emollient used in skincare formulations.
Cetyl Panthenol,Preservative,2,3,Oily,Acne,A standard cosmetic preservative used in skincare formulations.
Cocoyl Oat Protein,Soothing,1,1,Sensitive,Oily,A standard cosmetic soothing used in skincare formulations.
PEG-40 Elastin,Emollient,3,1,Acne,Acne,A standard cosmetic emollient used in skincare formulations.
PPG-15 Soy Protein,Antioxidant,1,1,All,Acne,A standard cosmetic antioxidant used in skincare formulations.
PEG-8 Ascorbate,Emulsifier,2,1,Oily,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Calendula Officinalis Seed Extract,Emollient,0,0,Sensitive,None,Natural plant-derived emollient from Calendula Officinalis.
Isopropyl Carbonate,Soothing,2,1,Aging,Acne,A standard cosmetic soothing used in skincare formulations.
Isopropyl Retinol,Humectant,1,1,Acne,None,A standard cosmetic humectant used in skincare formulations.
Persea Gratissima Flower Extract,Antioxidant,0,0,Acne,None,Natural plant-derived antioxidant from Persea Gratissima.
Avena Sativa Seed Extract,Emollient,0,0,Acne,None,Natural plant-derived emollient from Avena Sativa.
Butyl Ascorbate,Buffering,2,1,Dry,Acne,A standard cosmetic buffering used in skincare formulations.
Capric Linoleate,Viscosity Controller,1,1,Acne,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
Rosmarinus Officinalis Leaf Extract,Antioxidant,0,0,Oily,None,Natural plant-derived antioxidant from Rosmarinus Officinalis.
Glycine Soja Callus Culture Extract,Humectant,0,0,Acne,None,Natural plant-derived humectant from Glycine Soja.
Magnesium Soy Protein,Surfactant,0,2,Oily,Acne,A standard cosmetic surfactant used in skincare formulations.
Butyl Dioxide,Soothing,0,0,Oily,None,A standard cosmetic soothing used in skincare formulations.
Sodium Oat Protein,Humectant,0,0,Oily,Acne,A standard cosmetic humectant used in skincare formulations.
Aluminum Ceramide EOP,Emulsifier,2,1,Aging,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
PPG-15 Tocopherol,Humectant,2,0,All,Acne,A standard cosmetic humectant used in skincare formulations.
Cocos Nucifera Lysate,Emollient,0,0,Aging,None,Natural plant-derived emollient from Cocos Nucifera.
Palmitoyl Keratin,Emulsifier,0,0,Dry,Acne,A standard cosmetic emulsifier used in skincare formulations.
Caprylic Copolymer,Antioxidant,2,1,Aging,Acne,A standard cosmetic antioxidant used in skincare formulations.
PEG-40 Benzoate,Emulsifier,2,0,Acne,None,A standard cosmetic emulsifier used in skincare formulations.
Zea Mays Wax,Antioxidant,0,0,Oily,None,Natural plant-derived antioxidant from Zea Mays.
Calcium Soy Protein,Astringent,2,0,Sensitive,Sensitive,A standard cosmetic astringent used in skincare formulations.
Methyl Myristate,Antioxidant,1,1,Dry,Acne,A standard cosmetic antioxidant used in skincare formulations.
Calcium Citrate,Solvent,1,1,Aging,Acne,A standard cosmetic solvent used in skincare formulations.
Caprylic Laurate,Viscosity Controller,0,1,Oily,Acne,A standard cosmetic viscosity controller used in skincare formulations.
Behenyl Soy Protein,Humectant,2,1,Oily,Acne,A standard cosmetic humectant used in skincare formulations.
Cetyl Phosphate,Buffering,2,0,Oily,Sensitive,A standard cosmetic buffering used in skincare formulations.
Polysorbate 80 Oleate,Soothing,2,1,Sensitive,Dry,A standard cosmetic soothing used in skincare formulations.
Methyl Keratin,Antioxidant,2,1,Oily,None,A standard cosmetic antioxidant used in skincare formulations.
Eucalyptus Globulus Butter,Antioxidant,2,0,Dry,None,Natural plant-derived antioxidant from Eucalyptus Globulus.
Glycyrrhiza Glabra Oil,Humectant,4,0,Acne,None,Natural plant-derived humectant from Glycyrrhiza Glabra.
Panax Ginseng Leaf Extract,Humectant,0,0,Sensitive,None,Natural plant-derived humectant from Panax Ginseng.
Magnesium Silk,Preservative,2,3,Dry,Dry,A standard cosmetic preservative used in skincare formulations.
Behenyl Stearate,Emulsifier,2,1,Aging,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Cetyl Hyaluronate,Exfoliant,1,2,Dry,None,A standard cosmetic exfoliant used in skincare formulations.
Iron Stearate,Astringent,1,0,Oily,Acne,A standard cosmetic astringent used in skincare formulations.
Vitis Vinifera Flower Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Vitis Vinifera.
Capric Collagen,Surfactant,1,5,All,Oily,A standard cosmetic surfactant used in skincare formulations.
PEG-40 Carbonate,Viscosity Controller,2,1,Aging,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Zea Mays Root Extract,Emollient,0,0,Sensitive,None,Natural plant-derived emollient from Zea Mays.
Potassium Tocopherol,Viscosity Controller,1,0,Oily,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
Glyceryl Silk,Emulsifier,1,1,Aging,Dry,A standard cosmetic emulsifier used in skincare formulations.
Isopropyl Copolymer,Antioxidant,0,1,Oily,Dry,A standard cosmetic antioxidant used in skincare formulations.
Cetearyl Retinol,Buffering,1,0,Acne,None,A standard cosmetic buffering used in skincare formulations.
Potassium Linoleate,Emollient,5,0,Sensitive,Oily,A standard cosmetic emollient used in skincare formulations.
Olea Europaea Flower Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Olea Europaea.
Zinc Wheat Protein,Soothing,0,1,All,Sensitive,A standard cosmetic soothing used in skincare formulations.
Potassium Oat Protein,Surfactant,1,0,Dry,Oily,A standard cosmetic surfactant used in skincare formulations.
Glycyrrhiza Glabra Lysate,Humectant,0,0,Aging,None,Natural plant-derived humectant from Glycyrrhiza Glabra.
Ethyl Gluconate,Emulsifier,0,1,Aging,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Copper Niacinamide,Soothing,0,1,All,Dry,A standard cosmetic soothing used in skincare formulations.
Polysorbate 60 Silk,Preservative,0,3,Aging,Acne,A standard cosmetic preservative used in skincare formulations.
Cocoyl Oleate,Exfoliant,0,2,Aging,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Titanium Citrate,Exfoliant,2,4,Acne,Dry,A standard cosmetic exfoliant used in skincare formulations.
PEG-40 Dioxide,Astringent,1,0,All,Sensitive,A standard cosmetic astringent used in skincare formulations.
PEG-20 Ceramide NP,Solvent,1,0,All,Oily,A standard cosmetic solvent used in skincare formulations.
Glycine Soja Flower Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Glycine Soja.
Lauroyl Phosphate,Thickener,4,0,Aging,Acne,A standard cosmetic thickener used in skincare formulations.
Lauryl Hyaluronate,Emollient,5,1,Aging,Oily,A standard cosmetic emollient used in skincare formulations.
Stearyl Sorbate,Soothing,1,0,Sensitive,Oily,A standard cosmetic soothing used in skincare formulations.
Myristoyl Peptide,Buffering,1,0,All,Acne,A standard cosmetic buffering used in skincare formulations.
Aluminum Sulfate,Soothing,2,1,All,None,A standard cosmetic soothing used in skincare formulations.
Sodium Ceramide EOP,Antioxidant,0,1,All,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Aluminum Palmitate,Preservative,1,0,Acne,Dry,A standard cosmetic preservative used in skincare formulations.
Myristyl Gluconate,Chelating,2,0,Dry,Sensitive,A standard cosmetic chelating used in skincare formulations.
Caprylic Keratin,Emollient,0,0,Oily,Acne,A standard cosmetic emollient used in skincare formulations.
Polysorbate 60 Sulfate,Surfactant,0,0,Acne,Oily,A standard cosmetic surfactant used in skincare formulations.
Polyglyceryl-3 Silk,Buffering,1,1,Acne,Dry,A standard cosmetic buffering used in skincare formulations.
Copper Dioxide,Antioxidant,2,1,Aging,None,A standard cosmetic antioxidant used in skincare formulations.
Simmondsia Chinensis Callus Culture Extract,Emollient,0,0,Acne,None,Natural plant-derived emollient from Simmondsia Chinensis.
Hydrolyzed Silk,Viscosity Controller,0,0,Dry,Dry,A standard cosmetic viscosity controller used in skincare formulations.
Myristyl Lactate,Chelating,1,0,Oily,Oily,A standard cosmetic chelating used in skincare formulations.
Caprylic Oleate,Chelating,1,0,Sensitive,Oily,A standard cosmetic chelating used in skincare formulations.
Lauroyl Keratin,Buffering,1,0,Oily,Acne,A standard cosmetic buffering used in skincare formulations.
Aluminum Keratin,Emollient,2,0,All,Sensitive,A standard cosmetic emollient used in skincare formulations.
Rubus Idaeus Seed Extract,Antioxidant,0,0,Dry,None,Natural plant-derived antioxidant from Rubus Idaeus.
Olea Europaea Seed Extract,Humectant,0,0,Oily,None,Natural plant-derived humectant from Olea Europaea.
Capric Oat Protein,Surfactant,1,3,Aging,Oily,A standard cosmetic surfactant used in skincare formulations.
PEG-40 Peptide,Emollient,4,0,All,Dry,A standard cosmetic emollient used in skincare formulations.
Vitis Vinifera Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Vitis Vinifera.
Calcium Retinol,Chelating,0,0,All,Dry,A standard cosmetic chelating used in skincare formulations.
Cetearyl Wheat Protein,Chelating,0,0,Sensitive,Dry,A standard cosmetic chelating used in skincare formulations.
Panax Ginseng Wax,Humectant,0,0,Acne,None,Natural plant-derived humectant from Panax Ginseng.
Myristyl Dioxide,Emollient,3,1,Oily,Dry,A standard cosmetic emollient used in skincare formulations.
PEG-20 Soy Protein,Viscosity Controller,1,0,Oily,None,A standard cosmetic viscosity controller used in skincare formulations.
Glycine Soja Juice,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Glycine Soja.
Rubus Idaeus Oil,Humectant,3,0,Dry,None,Natural plant-derived humectant from Rubus Idaeus.
Myristyl Elastin,Preservative,2,3,Sensitive,Acne,A standard cosmetic preservative used in skincare formulations.
Butyl Crosspolymer,Antioxidant,0,0,Aging,Acne,A standard cosmetic antioxidant used in skincare formulations.
PEG-20 Hydroxide,Exfoliant,1,3,Dry,Dry,A standard cosmetic exfoliant used in skincare formulations.
Iron Acetate,Thickener,0,0,Oily,None,A standard cosmetic thickener used in skincare formulations.
Argania Spinosa Wax,Emollient,0,0,Acne,None,Natural plant-derived emollient from Argania Spinosa.
Cocoyl Keratin,Buffering,1,0,Dry,None,A standard cosmetic buffering used in skincare formulations.
Behenyl Ascorbate,Thickener,0,1,All,Acne,A standard cosmetic thickener used in skincare formulations.
PEG-40 Gluconate,Viscosity Controller,0,0,Acne,Oily,A standard cosmetic viscosity controller used in skincare formulations.
